"Here are the results! We had 61 competitors for the Event, and 33 time onlies.",,,,,,,,,,,,,,,,,,,,,
Series Event III,,,,,,,,,,,,,,,,,,,,,
Rank ,Category ,Class ,Name ,Year/Make/Model ,Run 1 ,  ,Run 2 ,  ,Run 3 ,  ,Run 4 ,  ,Run 5 ,  ,Best Time ,Time Rank ,PAX Time ,PAX Rank ,Cls Pts,,
6,TO,STU,Jay Balducci,05 Subaru/WRX-STI,49.331,(2),46.578, ,50.352,(4),56.041,(8),46.894, ,46.578, ,38.101, ,962,,
7,TO,SM2,Keith Lensch,06 chevrolet/corvette,44.734, ,46.006,(2),44.739, ,45.882,(2),44.758, ,44.734, ,38.113, ,962,,
8,TO,DS,David Vasquez,03 BMW/330i,49.766,(2),48.572, ,48.609, ,48.071, ,48.287, ,48.071, ,38.265, ,958,,
9,TO,SS,Newton Johnson,04 Corvette/Z06,45.843, ,46.251, ,49.072,(2),56.237,(10),46.316, ,45.843, ,38.371, ,955,,
10,TO,AS,Rob Rockefeller,00 Honda/S2000,47.907,(2),52.993,(6),46.717, ,53.638,(4),49.223,(2),46.717, ,38.682, ,947,,
11,TO,CS,Brad Owen,99 Mazda/Miata,48.189, ,49.278, ,51.083,(2),50.006,(2),47.763, ,47.763, ,38.688, ,947,,
12,TO,SS,Todd Lydic,01 Chevy/Z06,47.346, ,48.008, ,46.704, ,46.909, ,69.436,(20),46.704, ,39.091, ,938,,
13,TO,BS,Ed Prather,03 Nissan/350Z,52.473,(2),50.290,(2),48.034, ,61.000,(4),57.662,(8),48.034, ,39.436, ,929,,
14,TO,SM2,Mark Eddy,Datsun 240Z,47.242, ,47.393, ,46.795, ,46.393, ,46.461, ,46.393, ,39.527, ,927,,
15,TO,ES,Greg Toy,95 Toyota/MR2,50.811,(2),51.926,(2),49.127, ,49.683, ,DNF, ,49.127, ,39.547, ,927,,
16,TO,STS,Justin Crickenberger,89 Nissan/240sx,53.045,(2),56.758,(4),50.533, ,49.574, ,51.887, ,49.574, ,39.610, ,925,,
17,TO,STS,John Ellis,00 toyota/celica gts,49.883, ,49.591, ,49.689, ,49.753, ,50.050, ,49.591, ,39.623, ,925,,
18,TO,EM,Greg Duncan,84 Pontiac/Fiero,45.115, ,45.201, ,45.711, ,45.295, ,44.798, ,44.798, ,39.691, ,923,,
19,TO,AS,Clint Child,00 Acura/Integra Type-R,48.270, ,49.079, ,48.818, ,48.461, ,48.054, ,48.054, ,39.789, ,921,,
20,TO,DS,Brandon M. Guerra,04 VW/R32,55.635, ,51.566, ,50.847, ,50.164, ,50.731, ,50.164, ,39.931, ,918,,
21,TO,STS,Erich Eikenberry,00 Honda/Civic Si,50.236, ,50.425, ,50.041, ,60.388,(10),50.990, ,50.041, ,39.983, ,917,,
22,TO,EM,Tom Hill,88 Pontiac/Cadero,45.890, ,45.878, ,45.164, ,45.848, ,45.478,(2),45.164, ,40.015, ,916,,
23,TO,AS,Mike Selland,01 Honda/S2000,49.284, ,53.058,(4),49.383, ,49.231, ,48.745, ,48.745, ,40.361, ,908,,
24,TO,FSP,David Thomas,83 Mazda/RX-7,55.465, ,54.270, ,50.641, ,53.972, ,53.665, ,50.641, ,41.070, ,892,,
25,TO,FP,Enrique Aviles,82 Mazda/RX-7,48.225, ,48.089, ,47.901, ,47.985, ,47.720, ,47.720, ,41.135, ,891,,
26,TO,GS,Chris Sparling,05 Pontiac/Grand Am,54.718, ,65.889,(2),52.693, ,55.732, ,DNS, ,52.693, ,41.206, ,889,,
27,TO,STU,Bob Balducci,05 Subaru/WRX-STI,54.914, ,53.994, ,52.831, ,53.763, ,52.709, ,52.709, ,43.116, ,850,,
28,TO,SM2,Greg Mondeau,00 BMW/M coupe,53.050, ,51.933, ,52.509, ,52.829, ,52.418, ,51.933, ,44.247, ,828,,
29,TO,CSP,Joel Rhode,84 Honda/CRX,DNF, ,86.110,(22),57.362,(4),54.095,(2),59.971,(2),54.095, ,45.332, ,808,,
30,TO,CSP,Collin Mechler,84 Honda/CRX,84.642,(28),62.666,(6),54.164, ,56.592,(2),58.219,(4),54.164, ,45.389, ,807,,
31,TO,F125,Brian Weikert,03 Trackmagic/Kart,48.367,(4),DNF, ,DNS, ,DNS, ,DNS, ,48.367, ,45.417, ,807,,
32,TO,EM,Brian Malm,90 Corvarri/Kit,62.278,(4),57.686, ,61.006,(4),55.770,(4),54.683,(2),54.683, ,48.449, ,756,,
33,TO,FSP,Robert Slocum,83 Mazda/RX-7,999.000, ,DNW, ,DNW, ,DNW, ,DNW, ,999.000, ,810.189, ,45,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
