The Fall series for 2005 is a best 3 out of 5 event series (Note the two NOV columns).,,,,,,,,,,,,
,,,,,,,,,,,,
OPEN CLASSES,,,,,,,,,,,,
RANK ,CLASS ,NAME ,SEP ,OCT ,NOV ,NOV ,DEC ,TOTAL,,,,
1,DM,Ralph Prince, ,792, , , ,792,,,,
1,EM,Brian Malm,793,750,796, , ,2339,,,,
2,EM,Greg Duncan,918, ,931, , ,1849,,,,
3,EM,Tom Hill, , ,898,916, ,1814,,,,
4,EM,Jonathan Eddy,797, , , , ,797,,,,
1,FM,Kurt Cramer, ,747, ,821, ,1568,,,,
1,STS,Jonathan Eddy, ,950,939,954,956,2860,,,,
2,STS,Matt Durban,922,926,923, ,913,2771,,,,
3,STS,David Webb, , , ,954,926,1880,,,,
4,STS,John Ellis, , ,927, ,923,1850,,,,
5,STS,Clint Child, , , , ,954,954,,,,
6,STS,John Sandoval, , ,845, , ,845,,,,
1,STS2,Bob Francis, , , , ,835,835,,,,
1,STU,Chris Groppi,924,925, ,965, ,2814,,,,
2,STU,Jack Drummond,868,901,873,893, ,2667,,,,
3,STU,Jay Balducci, , ,948, , ,948,,,,
4,STU,Chris Lampe,919, , , , ,919,,,,
5,STU,Matt Smith, ,891, , , ,891,,,,
6,STU,Jamal Brewer, , , , ,890,890,,,,
1,STX,Mike Quigley,945,980, ,993,1000,2973,,,,
2,STX,Gary Ray,914,947,937,949,950,2846,,,,
3,STX,James Carter, ,968,945, , ,1913,,,,
4,STX,Fernando Ma, ,900,879, , ,1779,,,,
5,STX,Adam Moore,912, , , , ,912,,,,
1,SM,Dave Young, , ,952, , ,952,,,,
2,SM,Ross Jackson, , ,839, , ,839,,,,
3,SM,Lee Mayer,832, , , , ,832,,,,
1,SM2,Keith Lensch,940,926,962,967,959,2888,,,,
2,SM2,Mark Eddy, , ,927,944,933,2804,,,,
3,SM2,Greg Mondeau, ,820,829,817,812,2466,,,,
4,SM2,Dave Skull, ,941, ,951, ,1892,,,,
5,SM2,Jeff Braciak, ,875, , ,798,1673,,,,
6,SM2,Fernando Ma, , , , ,794,794,,,,
1,F125,Brian Weikert, , ,838, , ,838,,,,
1,FJ4,Kayla Smith, ,826, , ,834,1660,,,,
2,FJ4,Jamie Baker, , , , ,900,900,,,,
,,,,,,,,,,,,
LADIES CLASSES,,,,,,,,,,,,
RANK ,CLASS ,NAME ,SEP ,OCT ,NOV ,NOV ,DEC ,TOTAL,,,,
1,GS,Kim Sparling,873, ,898,934,907,2739,,,,
2,CP,Ronda Smith, ,854, ,844,790,2488,,,,
3,ESP,Susan Love, ,936, ,925, ,1861,,,,
4,HS/ASP,Mindi Cross, ,920, ,919, ,1839,,,,
5,ES,Dawn Maxwell, ,920, ,901, ,1821,,,,
6,SS,Kat Kemper, ,918, , , ,918,,,,
7,DS,Carol Nordquist, ,798, , , ,798,,,,
,,,,,,,,,,,,
STREET CLASSES,,,,,,,,,,,,
RANK ,CLASS ,NAME ,SEP ,OCT ,NOV ,NOV ,DEC ,TOTAL,,,,
1,HS,Tom Evans,856,881,910,905,899,2714,,,,
2,AS,Clint Child, , ,914,940, ,1854,,,,
3,SM2,Harry Berzes,867, ,875, , ,1742,,,,
4,SS,David Lee,825, , ,829, ,1654,,,,
5,AS,Brian Peters, , , , ,974,974,,,,
6,SM,James Frink, , , ,950, ,950,,,,
7,AS,Matt Francis, ,949, , , ,949,,,,
8,GS,Jeff Deerinwater,922, , , , ,922,,,,
9,BS,Ed Prather, ,914, , , ,914,,,,
10,AS,Fred Zust, , , , ,911,911,,,,
11,AS,Paul Lialios, , , , ,890,890,,,,
12,HS,Scott Lane, ,888, , , ,888,,,,
13,AS,Stuart Anderson, ,878, , , ,878,,,,
14,SS,Bill Schroeder, , , , ,869,869,,,,
15,CSP,Zach Heidepriem,856, , , , ,856,,,,
16,ESP,Bob Butcher,852, , , , ,852,,,,
17,CSP,Siho Lee,835, , , , ,835,,,,
18,AS,Lamar Jordan, ,824, , , ,824,,,,
19,CS,Ralph Prince, , , , ,814,814,,,,
20,SM,Mike Demrovsky, , ,810, , ,810,,,,
21,SM,Chad McKulsky, ,789, , , ,789,,,,
22,AS,Timothy Ehrhard, ,761, , , ,761,,,,
,,,,,,,,,,,,
NOVICE CLASSES,,,,,,,,,,,,
RANK ,CLASS ,NAME ,SEP ,OCT ,NOV ,NOV ,DEC ,TOTAL,,,,
1,AS/STU,Michael Oswald,918,943,931,915,944,2818,,,,
2,STX,Brandon Guerra, ,897,861,904,837,2662,,,,
3,DSP,Zach Fellows,837,884, ,900, ,2621,,,,
4,DS,Tom Fellows,781,881, ,933, ,2595,,,,
5,ES,Greg Toy, , ,931,886, ,1817,,,,
6,DS,Jon Matthias, ,881, , ,914,1795,,,,
7,STS,Justin Crickenberger,883, ,905, , ,1788,,,,
8,DS,Amro Habib, ,906, ,841, ,1747,,,,
9,FSP,Roger Velasco,832,870, , , ,1702,,,,
10,CSP/ES,Mike Woodard, ,831, , ,867,1698,,,,
11,STS2/CSP,Joel Rhode,829,834, , , ,1663,,,,
12,STS,Derek Low, , ,795, ,864,1659,,,,
13,HS,Sheila Rigg, , ,820, ,824,1644,,,,
14,SM,David Hsu,789, , ,793, ,1582,,,,
15,STS,Erich Eikenberry, , ,903, , ,903,,,,
16,FS,Brian Kuhn, ,899, , , ,899,,,,
17,FSP,Ross Jackson, ,889, , , ,889,,,,
18,SS,Wesley Green, , ,883, , ,883,,,,
19,DSP,Joel Funk, , ,879, , ,879,,,,
20,GS,Manfred Reysser, , , , ,876,876,,,,
21,STS,Nathan Offner,864, , , , ,864,,,,
22,STS2,Alan Smith, ,853, , , ,853,,,,
23,CS,Dan Vlasich, ,853, , , ,853,,,,
24,DS,Jennifer Fioretti, ,852, , , ,852,,,,
25,AS,Brenda Dixon, ,852, , , ,852,,,,
26,STS,Jamal Cox, ,851, , , ,851,,,,
27,SM2,Jeremy Stein, , , , ,841,841,,,,
28,GS,Patrick Kelly,834, , , , ,834,,,,
29,STS,Jacob Furler, , ,834, , ,834,,,,
30,STS,Matt Leavy,831, , , , ,831,,,,
31,SM,Pete Sterling, , ,822, , ,822,,,,
32,GS,Carl Alley, , , ,812, ,812,,,,
33,DS,Eli Griffith, , ,804, , ,804,,,,
34,ASP,Chad Mckulsky, , ,799, , ,799,,,,
35,STU,Bob Balducci, , ,779, , ,779,,,,
36,DS,Justin Sinacola,777, , , , ,777,,,,
37,FS,Mark Wilson, , , , ,747,747,,,,
38,SS,Robin Baker, , , , ,429,429,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
