The Summer Series for 2009 is a best 3 out of 4 event series.,,,,,,,
,,,,,,,
PAX Class,,,,,
13,CS,Thomas Martell,02 Toyota/MR-2 Spyder,48.898,,48.902,,49.439,,51.602,(2),48.898,,40.928,,914
14,HS,Brock Palmer,02 Honda/Civic LX,53.040,,52.980,,52.289,,51.518,,51.518,,41.317,,905
15,FS,PJ Lopez,08 BMW/335i,49.624,,51.129,(2),51.383,(2),50.713,(2),49.624,,41.337,,905
16,ST,John Michael,01 nissan/sentra,87.961,(24),55.650,(4),50.796,,50.976,,50.796,,41.551,,900
17,SS,John Carson,06 Lotus/Elise,50.278,,49.774,,48.654,,48.957,,48.654,,41.648,,898
18,ASP,Chris Lesadd,86 Porsche/911,49.797,,58.569,,49.129,,48.989,,48.989,,42.424,,882
19,STS,Dave Branson,da Miata/Miata,51.806,,51.780,,52.650,,52.196,,51.780,,42.460,,881
20,ES,Peter Yu,94 Mazda/Miata,52.162,,51.685,,51.698,,53.034,,51.685,,42.537,,879
21,ST,Thayer Keller,84 VW/Scirocco,53.542,,53.042,,52.060,,52.341,,52.060,,42.585,,878
22,ESP,Will Chun,07 Subaru/WRX Wagon,50.471,,51.153,(2),50.402,,52.425,(2),50.402,,42.640,,877
23,FS,Kaleb Bright,06 Ford/Mustang GT,51.190,,55.739,(4),53.559,,54.693,(4),51.190,,42.641,,877
24,SSM,Stuart Anderson,99 Mazda/Miata,51.555,(2),53.065,(4),49.567,,49.204,,49.204,,43.103,,868
25,FS,Jerimiah Taylor,05 Infiniti/G35X,52.948,,51.917,,56.126,(4),54.478,(2),51.917,,43.247,,865
26,ES,Omar Gutierrez,96 Mazda/Miata,DNF,,54.629,,53.763,,53.183,,53.183,,43.770,,855
27,SSM,Carl Tootle,90 Mazda/Miata,50.978,,51.103,,50.542,,51.101,,50.542,,44.275,,845
28,ASP,Harry De Leon,09 Dodge/Viper,52.086,,53.320,,71.725,(20),52.759,,52.086,,45.106,,829
29,DS,Joseph Davis,01 BMW 325i,63.065,,61.143,,60.523,,59.769,,59.769,,48.951,,764
30,SM,Brian Tindall,95 Acura/Integra,58.599,,59.235,,58.073,,57.696,,57.696,,50.022,,748
