"Here are the results! We had 50 competitors for the Event, and 30 time onlies.",,,,,,,,,,,,,,,,,
Series Event III,,,,,,,,,,,,,,,,,
Rank ,Category ,Class ,Name ,Year/Make/Model ,Run 1 ,  ,Run 2 ,  ,Run 3 ,  ,Run 4 ,  ,Best Time ,Time Rank ,PAX Time ,PAX Rank ,Cls Pts
15,TO,STU,James Hayden,95 BMW/M3,54.153, ,75.552,(20),52.535, ,53.240, ,52.535, ,43.604, ,937
16,TO,DS,Amro Habib,05 INFINITI/G35 SEDAN,54.613, ,53.953, ,54.376, ,55.244, ,53.953, ,43.810, ,933
17,TO,F125,Mark Eddy,99 kgb/spy ,48.443, ,46.288, ,46.474, ,DNF, ,46.288, ,43.881, ,931
18,TO,ES,Michael Woodard,95 Mazda/Miata,54.717, ,54.097, ,54.088, ,54.145, ,54.088, ,44.190, ,925
19,TO,ESP,Nathan Crum,05 Subaru/Outback XT,54.382, ,54.198, ,53.089, ,52.599, ,52.599, ,44.236, ,924
20,TO,CS,Dave Hurt,04 Mazda/Miata,56.892, ,89.263,(24),53.330, ,54.173, ,53.330, ,44.317, ,922
21,TO,CS,Harry Berzes,07 Mazda/MX5,54.490, ,55.216, ,54.337, ,53.597, ,53.597, ,44.539, ,917
22,TO,AS,Chris Sparling,08 Saturn/Sky,54.832,(2),52.951, ,77.866,(20),58.135, ,52.951, ,44.585, ,917
23,TO,AS,Bruce Patterson,03 Honda/S2000,53.048, ,53.267, ,53.740, ,55.231,(2),53.048, ,44.666, ,915
24,TO,FS,Jim Bright,06 Ford/Mustang GT,54.607, ,DNS, ,DNS, ,DNS, ,54.607, ,44.832, ,911
25,TO,AS,Stuart Anderson,04 Porsche/Boxster,56.001, ,55.480, ,56.303, ,53.958, ,53.958, ,45.433, ,899
26,TO,SM,Harry Steiner,95 Nissan/240SX,54.936,(2),52.858, ,52.905, ,54.808, ,52.858, ,45.458, ,899
27,TO,AS,Barbie Patterson,05 Chrysler/Crossfire,55.747, ,57.144, ,56.431, ,DNS, ,55.747, ,46.939, ,871
28,TO,STS,Brian Bilbo,97 Honda/Civic,69.253,(2),63.423, ,58.272, ,DNF, ,58.272, ,47.550, ,859
29,TO,EM,Chris Kissel,65 ffr/cobra,65.744, ,55.888, ,59.977, ,57.526, ,55.888, ,49.573, ,824
30,TO,AS,Joe Jensen,03 Chrysler/Crossfire,DNF, ,64.663, ,DNF, ,62.911, ,62.911, ,52.971, ,771
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
