"Here are the results! We had 61 racers for the Event, and 31 time onlies. ",,,,,,,,,,,,,,,,,,,
Series Event II,,,,,,,,,,,,,,,,,,,
RANK ,CLASS ,CATEGORY ,NAME ,CAR ,RUN 1 ,  ,RUN 2 ,  ,RUN 3 ,  ,RUN 4 ,  ,BEST TIME ,TIME RANK ,PAX TIME ,PAX RANK ,CLS PTS,,
2,GS,NOVICE,JOHN PAINTER,02 FOCUS SVT,57.430,-2,76.678,-20,55.180, ,56.990, ,55.180,36,43.316,25,914,,
3,DS,NOVICE,MIKE QUIGLEY,02 SUBARU WRX,57.059,-2,76.494,-22,54.380, ,54.547, ,54.380,31,43.395,26,912,,
4,DS,NOVICE,WADE HINDELL,00 AUDI TT,60.673, ,56.919, ,55.468, ,55.919, ,55.468,38,44.263,30,894,,
5,DS,NOVICE,RYAN BIRKMEYER,02 SUBARU WRX,59.905, ,57.077, ,59.305,-4,55.601, ,55.601,40,44.370,34,892,,
6,BSP,NOVICE,DAVID CARTER,72 DATSUN 240Z,60.848, ,56.466, ,53.634, ,52.989, ,52.989,23,44.511,35,889,,
7,GS,NOVICE,KIM SPARLING,02 SAAB 9-3,72.705,-6,61.326, ,58.090, ,62.464,(2),58.090,52,45.601,42,868,,
8,ESP,NOVICE,FRANK JUDNICH,01 GTP,56.538, ,56.773, ,55.936, ,58.755,-4,55.936,43,46.203,45,857,,
9,ESP,NOVICE,BILLY WEBSTER,99 DAKOTA R/T PUP,61.071, ,59.388, ,58.266, ,56.564, ,56.564,46,46.722,48,847,,
10,STX,NOVICE,CHUCK LUBIN,02 SUBARU WRX,75.479,-20,DNF, ,59.274, ,60.087, ,59.274,56,47.478,50,834,,
11,HS,NOVICE,LEE MAYER,95 VW JETTA,65.133, ,67.229,-4,62.355, ,61.245, ,61.245,59,47.710,52,830,,
12,GS,NOVICE,OWEN GIBSON,89 MUSTANG,63.149, ,83.584,-20,83.161,-20,61.826, ,61.826,61,48.533,57,815,,
13,BSP,NOVICE,JON CARTER,72 DATSUN 240Z,66.281, ,57.937, ,58.457,-2,59.563,-2,57.937,51,48.667,58,813,,
14,BSP,NOVICE,RYAN MELLER,63 CORVETTE,71.478, ,63.597, ,61.195, ,60.183, ,60.183,57,50.554,59,783,,
15,CP,NOVICE,JESSE SMITH,68 CAMARO,73.876,-2,64.553, ,61.401, ,60.294, ,60.294,58,51.491,60,769,,
1,FS,DAILY,JACK DRUMMOND,01 CAMARO Z28,55.468, ,54.288, ,53.775, ,53.227, ,53.227,25,43.061,21,919,,
2,GS,DAILY,MIKE MORZINSKI,00 INTEGRA,56.854, ,56.397, ,68.127,-2,56.188, ,56.188,44,44.108,28,897,,
3,CS,DAILY,PAUL LIALIOS,87 PORSCHE 944/T,57.890, ,56.009, ,56.110, ,54.607, ,54.607,34,44.341,32,893,,
4,ESP,DAILY,LARRY PETRUCCI,99 PONTIAC FORMULA,54.402, ,54.659, ,54.866, ,73.771,-20,54.402,32,44.936,38,881,,
5,ESP,DAILY,TRAVIS HIGGINS,00 DAKOTA R/T PUP,58.808, ,56.250, ,58.473,-2,73.813,-8,56.250,45,46.462,46,852,,
6,HS,DAILY,RISHI MOHINDRA,01 FORD FOCUS,69.578, ,62.519, ,61.681, ,63.924,-2,61.681,60,48.049,54,824,,
7,DM,DAILY,ADAM RIVERA,77 VW SCIROCCO,69.276, ,94.082,-20,59.608, ,58.760, ,58.760,54,52.531,61,753,,
 ,AS,TIME ONLY,STEVE RYAN,91 CORVETTE,67.013,-20,47.378, ,67.819,-20,46.571, ,46.571, ,38.561,TO,1026,,
 ,STS,TIME ONLY,DAVID ROCK,00 CELICA GTS,52.585,-2,49.518, ,50.175, ,49.603, ,49.518, ,38.822,TO,1019,,
 ,SS,TIME ONLY,JOEL SCHOTZ,01 CORVETTE Z06,56.854,-8,47.540, ,46.906, ,47.135, ,46.906, ,39.213,TO,1009,,
 ,STX,TIME ONLY,MARK GOERNER,01 INTEGRA TYPE R,50.442, ,70.224,-20,51.391,-2,49.216, ,49.216, ,39.422,TO,1004,,
 ,BS,TIME ONLY,DAVE MCCOMBS,02 HONDA S2000,48.030, ,51.948,-4,47.928, ,47.906, ,47.906, ,39.618,TO,999,,
 ,BS,TIME ONLY,MARC MCCOMBS,02 HONDA S2000,47.913, ,48.651,-2,DNF, ,48.690, ,47.913, ,39.624,TO,999,,
 ,ESP,TIME ONLY,RICHARD RIPPY,98 CAMARO,53.896, ,53.927,-2,48.247, ,56.706,-8,48.247, ,39.852,TO,993,,
 ,AP,TIME ONLY,GREG DUNCAN,84 FIERO,47.026, ,46.932, ,47.432, ,46.141, ,46.141, ,40.327,TO,981,,
 ,BSP,TIME ONLY,NEWTON JOHNSON,91 CORVETTE ZR1,50.477,-2,48.524, ,48.281, ,50.622,-2,48.281, ,40.556,TO,976,,
 ,STS,TIME ONLY,JONATHAN EDDY,00 SUBARU IMPREZA,52.045, ,53.123, ,55.610,-4,53.489,-2,52.045, ,40.803,TO,970,,
 ,GS,TIME ONLY,CHRIS SPARLING,02 SAAB 9-3,59.038,-4,55.188,-2,60.373, ,52.119, ,52.119, ,40.913,TO,967,,
 ,SM,TIME ONLY,DAN MACKEAN,71 DATSUN 240Z,70.517,-20,69.392,-20,49.645, ,49.071, ,49.071, ,40.925,TO,967,,
 ,GS,TIME ONLY,KRIS TVEDT,95 NEON,54.751,-2,54.225, ,77.396,-26,52.181, ,52.181, ,40.962,TO,966,,
 ,DSP,TIME ONLY,RON TERRIEN,95 PRELUDE,55.067,-4,50.518, ,54.933,-4,50.152, ,50.152, ,41.125,TO,962,,
 ,CSP,TIME ONLY,TRAVIS HIGDON,88 HONCA CRX Si,61.858,-4,53.495,-4,49.530, ,49.705, ,49.530, ,41.704,TO,949,,
 ,DS,TIME ONLY,MIKE QUIGLEY,01 SUBARU WRX,54.936, ,52.456, ,54.677,-2,57.823,-4,52.456, ,41.860,TO,945,,
 ,SM,TIME ONLY,DAVID HARSAY,00 MUSTANG,54.788,-4,52.005, ,51.693, ,51.070, ,51.070, ,42.592,TO,929,,
 ,DSP,TIME ONLY,KIM STEWART,96 VW GTI,52.441, ,52.408, ,54.880,-2,DNS, ,52.408, ,42.975,TO,921,,
 ,HS,TIME ONLY,BUD ADELMAN,88 MAZDA 626/T,55.416, ,55.557, ,55.178,-2,DNF, ,55.178, ,42.984,TO,921,,
 ,CS,TIME ONLY,JASON TRIBLE,00 MIATA,53.222, ,53.890, ,53.714, ,60.605, ,53.222, ,43.216,TO,916,,
 ,CS,TIME ONLY,PAUL LIALIOS,87 PORCHE 944/T,55.387, ,54.081, ,53.585, ,53.350, ,53.350, ,43.320,TO,914,,
 ,ESP,TIME ONLY,LARRY PETRUCCI,99 PONTIAC FORMULA,78.800,-20,54.539, ,53.462, ,53.302, ,53.302, ,44.027,TO,899,,
 ,EM,TIME ONLY,BRIAN MALM,90 CORVARRI KIT CAR,50.649, ,50.676,-2,52.552,-2,48.991, ,48.991, ,44.288,TO,894,,
 ,BSP,TIME ONLY,BRIAN MILLER,63 CORVETTE,55.276,(2),54.101, ,52.948, ,DNF, ,52.948, ,44.476,TO,890,,
 ,ESP,TIME ONLY,DAVE MUNSEY,97 MUSTANG COBRA,54.088,-4,54.073,-4,83.080,-22,77.288,-20,54.073, ,44.664,TO,886,,
 ,STX,TIME ONLY,CHUCK LUBIN,02 SUBARU WRX,57.604, ,58.349, ,55.919, ,59.094,-2,55.919, ,44.791,TO,884,,
 ,ESP,TIME ONLY,ABRAHAM JONES,00 CAMARO SS,60.872, ,54.672,-4,56.607,-6,56.882,-6,54.672, ,45.159,TO,876,,
 ,HS,TIME ONLY,RISHI MOHINDRA,01 FOCUS,61.354, ,58.151, ,65.511,-4,58.802, ,58.151, ,45.300,TO,874,,
 ,SM2,TIME ONLY,ENRIQUE AVILES,82 MAZDA RX7,64.131,-4,53.638, ,58.045, ,53.173, ,53.173, ,45.516,TO,870,,
 ,BSP,TIME ONLY,RYAN MELLER,63 CORVETTE,58.838, ,83.234, ,57.251, ,57.121, ,57.121, ,47.982,TO,825,,
 ,GS,TIME ONLY,OWEN GIBSON,89 MUSTANG,61.563, ,DNS, ,DNS, ,DNS, ,61.563, ,48.327,TO,819,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,CSP,TIME ONLY,ERIC WILLIAMS,95 MIATA,61.073,,60.408,,DNS,,DNS,,60.408,,50.864,N/A,,,
,BS,TIME ONLY,BILL SPARLING,88 BMW M3,62.386,,66.224,(4),61.704,,DNS,,61.704,,51.029,N/A,,,
,BS,TIME ONLY,JIM O'HARRA,66 LOTUS SUPER 7,63.163,,63.228,,61.863,,62.512,,61.863,,51.161,N/A,,,
,ESP,TIME ONLY,JAMES KNIBLOE,97 ECLIPSE,65.226,(4),64.451,(4),63.118,(2),71.738,(4),63.118,,52.135,N/A,,,
,BM,TIME ONLY,ALEX MAC GILLAVRY,65 MALLOCK U2,79.733,(22),57.377,,55.802,,55.673,,55.673,,52.945,N/A,,,
,ESP,TIME ONLY,MATT EVANS,78 MALIBU,68.082,,65.99,,64.95,,65.166,,64.95,,53.649,N/A,,,
,CS,TIME ONLY,DAVID FELIX,94 MIATA,70.329,(4),92.525,(26),66.235,(2),84.197,(20),66.235,,53.783,N/A,,,
,SS,TIME ONLY,MARY SPARLING,01 BMW M3,70.656,,85.877,(20),83.064,(20),66.696,,66.696,,55.758,N/A,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
